username_length,num_posts,num_followers,num_following,account_age_days,has_profile_picture,has_bio,engagement_ratio,is_verified,is_fake
17,1230,30,422,3201,0,1,41.0023,0,0
16,20,31,731,2077,1,1,0.6463,0,0
26,12,6393,2463,14,0,0,0.0114,0,1
28,1,5,4898,18,0,1,0.2158,0,1
18,86,837,971,2294,1,1,0.1086,0,0
3,37,71,2554,322,1,1,0.53,0,1
18,1892,264,256,1068,0,1,7.1661,0,0
8,93,2178,888,1752,1,1,0.0523,0,0
9,895,53,555,2068,1,1,16.8829,0,0
3,7,1663,3545,24,0,0,0.0,0,1
7,55,11,434,3504,1,1,5.0216,0,0
12,866,334,956,3612,0,1,2.6051,0,0
17,2,1869,197,2941,0,1,0.0136,0,0
13,250,36065,621,910,1,0,0.0076,0,0
21,2,5499,3291,1,0,1,0.0021,0,1
17,40,1800,945,1445,1,1,0.0101,0,0
7,85,3936,332,2104,1,1,0.0075,0,0
5,26,2069,1160,331,1,1,0.0122,0,1
11,1379,2316,619,1376,1,0,0.606,0,0
23,6,25,2555,13,0,1,0.2405,0,1
17,1,62,3869,29,0,0,0.0072,0,1
9,1103,112,872,3013,1,1,9.8449,0,0
5,1910,448,879,2868,1,1,4.2622,0,0
10,1724,3843,496,610,1,1,0.4569,0,0
9,85,229,502,1257,0,1,0.3664,0,0
14,1881,299,708,2519,1,1,6.27,0,0
11,596,169,739,2457,0,1,3.538,0,0
15,43,104,803,2112,1,1,0.4179,0,0
18,33,205,124,442,0,1,0.1388,1,0
7,1222,2643,86,3470,1,1,0.4762,0,0
5,695,351,661,425,1,1,1.9811,0,0
14,15,3438,200,1197,1,0,0.007,0,0
19,1286,1453,279,1572,1,0,0.8692,0,0
17,1465,4812,119,3353,0,1,0.3052,0,0
14,138,182,525,485,0,1,0.7632,0,0
5,923,126,721,2250,0,1,7.3263,0,0
18,3,48,3684,21,1,0,0.0844,0,1
16,35,325,789,1976,1,1,0.0996,0,0
6,15,2838,109,315,0,0,0.0082,0,1
10,894,426,434,434,0,1,2.0876,0,0
19,4,82,2148,19,0,0,0.0405,0,1
6,217,315,438,3067,1,0,0.6859,0,0
19,677,112,908,2512,1,1,6.0398,0,0
7,232,3972,901,3061,0,1,0.0718,0,0
15,74,192,409,2977,1,1,0.3756,0,0
7,20,179,562,2722,1,0,0.1168,0,0
17,26,56,156,2908,1,0,0.4661,0,0
26,7,6126,1018,14,1,0,0.0,0,1
11,813,625,261,2102,1,1,1.3016,0,0
12,1492,51,787,3544,1,1,29.2463,0,0
10,20,121,879,2427,0,1,0.1403,0,0
18,24,3551,4389,15,0,1,0.0136,0,1
7,324,2548,599,1858,1,1,0.1099,0,0
9,1773,22,662,2406,1,1,80.6033,0,0
18,1940,453,425,3560,1,0,4.2874,0,0
23,2,8546,2721,118,0,1,0.016,0,1
7,1988,152,552,2027,0,0,13.0603,0,0
18,39,35,1220,29,0,1,1.1066,0,1
10,12,374,96,2401,1,1,0.0362,0,0
9,110,369,864,375,1,0,0.3169,0,0
13,1746,180,373,3234,1,1,9.7188,0,0
17,1419,276,395,1675,0,1,5.1548,0,0
7,39,318,986,604,1,1,0.1071,0,0
25,2,4572,4480,11,0,0,0.0,0,1
8,575,369,264,2512,1,1,1.584,0,0
18,1109,485,880,1950,1,0,2.2755,0,0
7,1503,64,882,342,1,0,23.4791,0,0
19,1541,23922,549,194,0,1,0.0693,0,0
14,6,4195,334,2777,1,1,0.0115,0,0
11,1655,431,555,2931,1,0,3.8348,0,0
3,8,24,2641,4,0,0,0.317,0,1
13,75,351,780,197,1,1,0.2192,0,0
5,25,131,412,2896,0,1,0.1886,0,0
21,5,23,1885,4,0,0,0.2295,0,1
6,253,82,110,968,1,1,3.0823,0,0
27,8,1338,2808,244,1,1,0.0,0,1
15,588,56,450,1847,1,1,10.4892,0,0
25,40,38,3661,7,0,0,1.0632,0,1
22,6,6468,2869,1,1,0,0.0,0,1
5,0,1271,1362,25,0,0,0.0,0,1
17,13,333,998,2028,1,1,0.0489,0,0
28,16,8827,984,19,0,0,0.0,0,1
19,18,60,949,245,0,0,0.2987,0,1
15,1664,1855,89,1590,1,0,0.9083,0,0
12,1299,463,642,1167,1,1,2.8007,0,0
15,1872,225,620,2893,1,1,8.3304,0,0
19,26,142,80,2612,0,1,0.1988,0,0
6,1648,122,497,2933,1,0,13.5116,0,0
13,95,2882,327,1249,0,1,0.0379,0,0
20,23,5811,2528,12,1,0,0.0,0,1
11,25,294,538,68,1,1,0.0897,0,0
15,1830,4011,352,898,1,1,0.462,0,0
24,1,24,2355,27,0,0,0.0579,0,1
17,792,3446,202,2811,0,0,0.205,0,0
10,47,616,444,1117,1,0,0.0718,0,0
15,828,3996,740,1141,0,0,0.183,0,0
10,191,1435,914,31,1,1,0.1284,0,0
10,1809,152,354,1925,1,1,11.9121,0,0
16,37,61,558,20,1,0,0.6239,0,1
10,186,34,799,3457,1,1,5.4726,0,0
16,1013,46,973,1767,1,0,22.0266,0,0
9,1056,3279,201,1742,1,1,0.3179,0,0
8,434,17201,235,1299,1,1,0.0203,0,0
6,46,40,4576,15,0,0,1.1562,0,1
13,3,2546,725,330,1,0,0.0456,0,0
16,1484,285,333,3222,1,1,5.2004,0,0
22,5,1,1143,26,0,0,5.0019,0,1
8,341,28857,88,1276,1,1,0.0029,0,0
11,407,243,390,158,1,0,1.6739,0,0
14,402,1486,850,3102,1,1,0.2703,0,0
14,61,1074,138,717,1,0,0.0598,0,0
20,27,2388,1467,22,1,0,0.0035,0,1
17,88,300,891,991,1,1,0.2683,0,0
14,24,313,832,72,1,1,0.0996,0,0
7,6,7936,4246,353,0,0,0.0,0,1
19,390,115,693,2167,0,0,3.3815,0,0
17,30,944,133,1505,0,1,0.0218,0,0
10,825,35,731,2661,1,1,23.5721,0,0
12,1735,211,488,2319,0,0,8.2474,0,0
9,518,169,558,470,1,1,3.0462,0,0
7,1497,3851,629,1271,1,1,0.3968,0,0
13,7,3546,566,2505,1,1,0.0,0,0
10,480,351,852,2431,1,1,1.3806,0,0
14,769,409,697,3057,1,1,1.8871,0,0
18,0,69,1866,1,0,0,0.0,0,1
6,860,340,360,291,1,1,2.5177,1,0
26,47,8629,4019,7,0,0,0.0057,0,1
13,892,298,159,2413,1,0,2.9932,0,0
13,12,414,222,2009,1,0,0.0362,0,0
15,1,296,431,719,0,1,0.0,1,0
7,1452,380,821,1668,1,0,3.826,0,0
29,2,85,2745,5,0,0,0.0133,0,1
22,0,84,771,4,0,0,0.0073,0,1
18,30,1016,524,1,0,1,0.0171,0,1
26,17,8088,4026,24,1,0,0.0,0,1
12,1768,241,700,465,1,1,7.3379,0,0
9,449,17,269,3438,1,1,26.3992,0,0
18,67,877,827,2226,0,1,0.0714,0,0
19,1411,235,985,3503,1,1,6.0248,0,0
